OBJID,INADDR,INZONE,MatchAddress,Zone,Score,XCoord,YCoord,Geocoder
75,499 N 200 E, 84501,499 W 200 S, PRICE,81.94,515553.646575,4383067.38354,Centerlines.StatewideRoads
76,601 N 200 E, 84501,601 N 200 E, PRICE,100.0,516565.028693,4384478.95388,Centerlines.StatewideRoads
77,699 N 200 E, 84501,699 N 200 E, PRICE,100.0,516563.765324,4384661.83436,Centerlines.StatewideRoads
78,651 N 200 E, 84501,651 N 200 E, PRICE,100.0,516564.384117,4384572.26025,Centerlines.StatewideRoads
79,100 N 200 W, 84501,100 N 200 W, PRICE,100.0,515965.03622,4383488.9007,Centerlines.StatewideRoads
80,198 N 200 W, 84501,198 N 200 W, ELMO,100.0,515148.237172,4360436.2999,Centerlines.StatewideRoads
81,150 N 200 W, 84501,150 N 200 W, PRICE,100.0,515992.980108,4383556.47232,Centerlines.StatewideRoads
82,300 N 250 E, 84501,250 E 300 N, PRICE,100.0,516626.680832,4383861.37216,Centerlines.StatewideRoads
83,399 N 250 E, 84501,399 N 250 E, PRICE,100.0,516605.973395,4384058.2969,Centerlines.StatewideRoads
84,100 N 300 E, 84501,100 N 300 E, PRICE,100.0,516719.657232,4383501.35426,Centerlines.StatewideRoads
85,198 N 300 E, 84501,198 N 300 E, PRICE,100.0,516717.231061,4383643.55552,Centerlines.StatewideRoads
86,150 N 300 E, 84501,150 N 300 E, PRICE,100.0,516718.41939,4383573.90592,Centerlines.StatewideRoads
87,200 N 300 E, 84501,200 N 300 E, PRICE,100.0,516732.767915,4383613.86569,AddressPoints.AddressGrid
88,298 N 300 E, 84501,298 N 300 E, PRICE,100.0,516718.524436,4383832.91005,Centerlines.StatewideRoads
89,250 N 300 E, 84501,250 N 300 E, PRICE,100.0,516717.862543,4383748.53873,Centerlines.StatewideRoads
90,300 N 300 E, 84501,300 N 300 E, PRICE,100.0,516718.531185,4383844.86915,Centerlines.StatewideRoads
91,398 N 300 E, 84501,398 N 300 E, PRICE,100.0,516723.319858,4384013.38948,AddressPoints.AddressGrid
92,350 N 300 E, 84501,350 N 300 E, PRICE,100.0,516723.437785,4383957.89429,AddressPoints.AddressGrid
93,408 N 300 E, 84501,408 N 300 E, PRICE,100.0,516716.795666,4384139.27645,Centerlines.StatewideRoads
94,498 N 300 E, 84501,498 N 300 E, PRICE,100.0,516713.493898,4384265.73646,Centerlines.StatewideRoads
95,454 N 300 E, 84501,454 N 300 E, PRICE,100.0,516715.108096,4384203.91157,Centerlines.StatewideRoads
96,600 N 300 E, 84501,600 N 300 E, PRICE,100.0,516713.313613,4384478.30895,Centerlines.StatewideRoads
97,698 N 300 E, 84501,698 N 300 E, PRICE,100.0,516715.475796,4384663.43961,Centerlines.StatewideRoads
98,650 N 300 E, 84501,650 N 300 E, PRICE,100.0,516722.119774,4384568.29982,AddressPoints.AddressGrid
99,101 N 300 E, 84501,101 N 300 E, PRICE,100.0,516689.661598,4383500.84249,Centerlines.StatewideRoads
100,199 N 300 E, 84501,199 N 300 E, PRICE,100.0,516687.235427,4383643.04375,Centerlines.StatewideRoads
101,151 N 300 E, 84501,151 N 300 E, PRICE,100.0,516681.309995,4383591.55663,AddressPoints.AddressGrid
102,201 N 300 E, 84501,201 N 300 E, PRICE,100.0,516687.173994,4383660.88727,Centerlines.StatewideRoads
103,299 N 300 E, 84501,299 N 300 E, PRICE,100.0,516663.627838,4383824.58789,AddressPoints.AddressGrid
104,251 N 300 E, 84501,251 N 300 E, PRICE,100.0,516687.863466,4383748.77407,Centerlines.StatewideRoads
105,301 N 300 E, 84501,301 N 300 E, PRICE,100.0,516688.54864,4383843.84593,Centerlines.StatewideRoads
106,325 N 300 E, 84501,325 N 300 E, PRICE,100.0,516680.727295,4383857.91969,AddressPoints.AddressGrid
107,327 N 300 E, 84501,327 N 300 E, PRICE,100.0,516687.382646,4383906.78756,Centerlines.StatewideRoads
108,399 N 300 E, 84501,399 N 300 E, PRICE,100.0,516687.294003,4384117.30908,Centerlines.StatewideRoads
109,363 N 300 E, 84501,363 N 300 E, PRICE,100.0,516687.317374,4384024.23734,Centerlines.StatewideRoads
110,401 N 300 E, 84501,401 N 300 E, PRICE,100.0,516680.435945,4383991.09429,AddressPoints.AddressGrid
111,499 N 300 E, 84501,499 N 300 E, PRICE,100.0,516683.504118,4384264.95345,Centerlines.StatewideRoads
112,451 N 300 E, 84501,451 N 300 E, PRICE,100.0,516685.265061,4384197.50811,Centerlines.StatewideRoads
113,601 N 300 E, 84501,601 N 300 E, PRICE,100.0,516683.315659,4384478.65931,Centerlines.StatewideRoads
114,699 N 300 E, 84501,699 N 300 E, PRICE,100.0,516678.99307,4384656.99502,AddressPoints.AddressGrid
